Nama Depan,Nama Belakang,Email,Kota,Tanggal Pembelian,Produk Yang Dibeli,Nomor Penjualan,Jumlah Pembelian,Rating,Jasa Pengiriman,Customer Baru,Sales Person
bambang ,Satya,Satya@gmailx.com,Bogor,28-12-2018,KP0425CB,36897,5 buah,N/A,Wakanda Express,Y,Ll-409
rachmat ,P.,Rachmat@icloudx.com,Banjar,28-12-2018,KP0925SG,35624,3 buah,N/A,Wakanda Express,N,Do-409
Lie,Arsil,LIE@ymailx.com,Gorontalo,26-12-2018,KP0850FB,35745,7,N/A,JENT,Y,Bc-983
Jimmy,hardono,"Hardono@ymailx.com,",Purwokerto,25-12-2018,KP0750AJ,35432,9,N/A,Cepat Kirim,Y,Ng-410
Sudjono,Hirawan,Hirawan@rocketmailx.com,Pasuruan,24-12-2018,KP0925SG,35012,7,N/A,JENT,N,Ae-123
Ari,shahab,Ari@ymailx.com,Tarakan,23-12-2018,KP0625AF,35226,8,N/A,Wakanda Express,Y,Kn-994
indawan ,Arsyafira ,Arsyafira@ymailx.com,Palangkaraya,22-12-2018,KP0850FB,36614,2 buah,N/A,JENT,Y,Tf-992
Jayanti,F.,F.@gmailx.com,Tangerang Selatan,20-12-2018,KP0350CF,36600,4,N/A,Wakanda Express,Y,Sn-500
Monalita,hermawan,Monalita@icloudx.com,Padang Sidempuan,19-12-2018,KP0925SG,36249,6,4,Wakanda Express,Y,Yl-662
Franky,investama,Franky@gmailx.com,Mojokerto,17-12-2018,KP0925SG,35442,6,N/A,Cepat Kirim,Y,Ta-123
Lily,holdings,Holdings@rocketmailx.com,Lubuklinggau,17-12-2018,KP0050AG,35978,10,N/A,Swift Delivery,Y,Yp-661
dadi ,Siddharta,Siddharta@outlookx.com,Banjarbaru,16-12-2018,KP0925SG,36047,9 buah,N/A,JENT,Y,Ka-991
Benny,Atmadja,Benny@outlookx.com,Jayapura,15-12-2018,KP0350CF,36446,8,N/A,JENT,Y,Tr-990
Djoni,Hadisurjo,Hadisurjo@icloudx.com,Payakumbuh,14-12-2018,KP0350CF,35398,4,N/A,Wakanda Express,Y,Ze-559
John ,Sukarso ,Sukarso@gmailx.com,Semarang,12-11-2018,KP0150BH,35392,8 buah,N/A,JENT,Y,Ua-410
David,Mellon,Mellon@livex.com,Sabang,12-11-2018,KP0350CF,35204,3,N/A,Wakanda Express,Y,Hi-101
Kimberly,natalia,Natalia@ymailx.com,Langsa,12-11-2018,KP0625AF,35810,2,N/A,Cepat Kirim,Y,Cs-101
Letty,tamin,Letty@rocketmailx.com,Samarinda,12-11-2018,KP0425CB,35809,10,N/A,JENT,Y,Ld-993
lucas ,Barak,Lucas@ymailx.com,Denpasar,12-10-2018,KP0225BB,36192,10 buah,N/A,Pru Logistic,Y,Wi-201
gunawan ,Sukanda,Gunawan@gmailx.com,Pagaralam,12-10-2018,KP0625AF,35490,7 buah,4,Wakanda Express,Y,Hg-661
lanny ,Kongoasa,Kongoasa@mex.com,Tanjungpinang,12-9-2018,KP0850FB,35081,3 buah,N/A,Swift Delivery,Y,Na-809
sherlly ,Kusumawati,Sherlly@gmailx.com,Malang,12-9-2018,KP0350CF,36357,4 buah,4,Wakanda Express,N,Uc-123
Nia,Husein,Nia@outlookx.com,Banda Aceh,12-9-2018,KP0925SG,35933,4,N/A,Wakanda Express,N,Dg-101
budi ,T.,T.@ymailx.com,Probolinggo,12-7-2018,KP0625AF,35268,9 buah,3,Pru Logistic,Y,By-123
Mohammad,Soniati,Soniati@icloudx.com,Dumai,12-5-2018,KP0050AG,35273,5,N/A,Pru Logistic,Y,Ek-222
Dani,suginawan,Suginawan@ymailx.com,Bandar Lampung,12-5-2018,KP0750AJ,36154,9,N/A,Cepat Kirim,Y,An-150
Nurdin,Hiong ,Hiong@rocketmailx.com,Meulaboh,12-4-2018,KP0350CF,36728,3,4,JENT,N,Fi-101
Erly,Tamin,"Tamin@gmailx.com,",Medan,12-4-2018,KP0850FB,36638,5,N/A,Swift Delivery,Y,Wd-662
roy ,Mei ,Roy@livex.com,Pontianak,12-3-2018,KP0150BH,35551,2 buah,2,JENT,N,Jr-880
Junus,Amiria,Junus@gmailx.com,Banjarbaru,12-3-2018,KP0925SG,36956,8,N/A,Cepat Kirim,Y,Jg-991
Abdul,Mulya,Mulya@livex.com,Padangpanjang,12-2-2018,KP0625AF,36759,7,1,Wakanda Express,Y,My-559
"elizabeth, ",Santoso,Santoso@gmailx.com,Parepare,12-1-2018,KP0925SG,36820,6 buah,5,Wakanda Express,Y,Al-290
jocelin ,Suwignjo ,Jocelin@ymailx.com,Subulussalam,12-1-2018,KP0925SG,36317,3 buah,4,JENT,Y,Gx-101
Albert,Asiah,Asiah@livex.com,Bukittinggi,12-1-2018,KP0750AJ,36221,5,N/A,JENT,Y,Ln-559
Joe,Kohar,Joe@ymailx.com,Ternate,12-1-2018,KP0150BH,35896,4,4,Wakanda Express,Y,Ax-160
Leny,Sutedja,Sutedja@mex.com,Tomohon,28-11-2018,KP0625AF,35988,3,5,Wakanda Express,Y,Cc-221
Michael,arie,Michael@livex.com,Gorontalo,28-11-2018,KP0625AF,36925,3,4,JENT,Y,Vg-983
Hendra ,Tjing,Tjing@ymailx.com,Ternate,27-11-2018,KP0850FB,36152,7 buah,4,Swift Delivery,Y,Pv-160
Mohit,Namara,Namara@livex.com,Bandar Lampung,27-11-2018,KP0850FB,35379,9,N/A,JENT,Y,Zp-150
Hetty,magnus,Magnus@ymailx.com,Semarang,27-11-2018,KP0750AJ,35486,7,N/A,Pru Logistic,Y,Wg-410
Ratnawati,bayu,"Ratnawati@gmailx.com,",Malang,26-11-2018,KP0150BH,36492,3,3,Cepat Kirim,N,Zl-123
Russel,sari,Russel@ymailx.com,Tegal,25-11-2018,KP0850FB,35763,7,N/A,Pru Logistic,N,Kk-410
Diana,widjaja,Widjaja@ymailx.com,Dumai,25-11-2018,KP0750AJ,36200,6,N/A,Swift Delivery,Y,Mf-222
Andrew ,Shyam,Shyam@ymailx.com,Tasikmalaya,24-11-2018,KP0425CB,35635,9 buah,N/A,Swift Delivery,Y,Zo-409
Cecilia,kencanawati,Kencanawati@livex.com,Tebingtinggi,23-11-2018,KP0925SG,36639,6,5,Pru Logistic,Y,Qv-662
andrew ,Karamchandani,Karamchandani@gmailx.com,Batu,21-11-2018,KP0050AG,35401,5 buah,N/A,Wakanda Express,Y,Mw-123
