Email,Kota,Tanggal Pembelian,Produk Yang Dibeli,Nomor Penjualan,Jumlah Pembelian,Rating,Jasa Pengiriman,Customer Baru,Sales Person,Nama Lengkap,Harga,Nama Barang,Total Harga
Satya@gmail.com,Bogor,2018-12-28,KP0425CB,36897,5,4.0,Wakanda Express,Y,Ll-409,Bambang  Satya,27250000.0,Congo Blue Blend 25kg,136250000.0
Rachmat@icloudx.com,Banjar,2018-12-28,KP0925SG,35624,3,4.0,Wakanda Express,N,Do-409,Rachmat  P,15000000.0,Sidikalang Gold Blend 25kg,45000000.0
LIE@ymail.com,Gorontalo,2018-12-26,KP0850FB,35745,7,4.0,JENT,Y,Bc-983,Lie Arsil,21000000.0,Flores Blend 50kg,147000000.0
Hardono@ymail.com,Purwokerto,2018-12-25,KP0750AJ,35432,9,4.0,Cepat Kirim,Y,Ng-410,Jimmy Hardono,18000000.0,Arabica Java 50kg,162000000.0
Hirawan@rocketmail.com,Pasuruan,2018-12-24,KP0925SG,35012,7,4.0,JENT,N,Ae-123,Sudjono Hirawan,15000000.0,Sidikalang Gold Blend 25kg,105000000.0
Ari@ymail.com,Tarakan,2018-12-23,KP0625AF,35226,8,4.0,Wakanda Express,Y,Kn-994,Ari Shahab,12000000.0,Arabica Flores 25kg,96000000.0
Arsyafira@ymail.com,Palangkaraya,2018-12-22,KP0850FB,36614,2,4.0,JENT,Y,Tf-992,Indawan  Arsyafira ,21000000.0,Flores Blend 50kg,42000000.0
F.@gmail.com,Tangerang Selatan,2018-12-20,KP0350CF,36600,4,4.0,Wakanda Express,Y,Sn-500,Jayanti F,35000000.0,Colombie Finest Blend 50kg,140000000.0
Monalita@icloudx.com,Padang Sidempuan,2018-12-19,KP0925SG,36249,6,4.0,Wakanda Express,Y,Yl-662,Monalita Hermawan,15000000.0,Sidikalang Gold Blend 25kg,90000000.0
Franky@gmail.com,Mojokerto,2018-12-17,KP0925SG,35442,6,4.0,Cepat Kirim,Y,Ta-123,Franky Investama,15000000.0,Sidikalang Gold Blend 25kg,90000000.0
Holdings@rocketmail.com,Lubuklinggau,2018-12-17,KP0050AG,35978,10,4.0,Swift Delivery,Y,Yp-661,Lily Holdings,16250000.0,Aceh Gayo 50kg,162500000.0
Siddharta@outlookx.com,Banjarbaru,2018-12-16,KP0925SG,36047,9,4.0,JENT,Y,Ka-991,Dadi  Siddharta,15000000.0,Sidikalang Gold Blend 25kg,135000000.0
Benny@outlookx.com,Jayapura,2018-12-15,KP0350CF,36446,8,4.0,JENT,Y,Tr-990,Benny Atmadja,35000000.0,Colombie Finest Blend 50kg,280000000.0
Hadisurjo@icloudx.com,Payakumbuh,2018-12-14,KP0350CF,35398,4,4.0,Wakanda Express,Y,Ze-559,Djoni Hadisurjo,35000000.0,Colombie Finest Blend 50kg,140000000.0
Sukarso@gmail.com,Semarang,2018-12-11,KP0150BH,35392,8,4.0,JENT,Y,Ua-410,John  Sukarso ,27000000.0,Bali Honey 50kg,216000000.0
Mellon@livex.com,Sabang,2018-12-11,KP0350CF,35204,3,4.0,Wakanda Express,Y,Hi-101,David Mellon,35000000.0,Colombie Finest Blend 50kg,105000000.0
Natalia@ymail.com,Langsa,2018-12-11,KP0625AF,35810,2,4.0,Cepat Kirim,Y,Cs-101,Kimberly Natalia,12000000.0,Arabica Flores 25kg,24000000.0
Letty@rocketmail.com,Samarinda,2018-12-11,KP0425CB,35809,10,4.0,JENT,Y,Ld-993,Letty Tamin,27250000.0,Congo Blue Blend 25kg,272500000.0
Lucas@ymail.com,Denpasar,2018-12-10,KP0225BB,36192,10,4.0,Pru Logistic,Y,Wi-201,Lucas  Barak,10000000.0,Breakfast Blend 25kg,100000000.0
Gunawan@gmail.com,Pagaralam,2018-12-10,KP0625AF,35490,7,4.0,Wakanda Express,Y,Hg-661,Gunawan  Sukanda,12000000.0,Arabica Flores 25kg,84000000.0
Kongoasa@mex.com,Tanjungpinang,2018-12-09,KP0850FB,35081,3,4.0,Swift Delivery,Y,Na-809,Lanny  Kongoasa,21000000.0,Flores Blend 50kg,63000000.0
Sherlly@gmail.com,Malang,2018-12-09,KP0350CF,36357,4,4.0,Wakanda Express,N,Uc-123,Sherlly  Kusumawati,35000000.0,Colombie Finest Blend 50kg,140000000.0
Nia@outlookx.com,Banda Aceh,2018-12-09,KP0925SG,35933,4,4.0,Wakanda Express,N,Dg-101,Nia Husein,15000000.0,Sidikalang Gold Blend 25kg,60000000.0
T.@ymail.com,Probolinggo,2018-12-07,KP0625AF,35268,9,3.0,Pru Logistic,Y,By-123,Budi  T,12000000.0,Arabica Flores 25kg,108000000.0
Soniati@icloudx.com,Dumai,2018-12-05,KP0050AG,35273,5,4.0,Pru Logistic,Y,Ek-222,Mohammad Soniati,16250000.0,Aceh Gayo 50kg,81250000.0
Suginawan@ymail.com,Bandar Lampung,2018-12-05,KP0750AJ,36154,9,4.0,Cepat Kirim,Y,An-150,Dani Suginawan,18000000.0,Arabica Java 50kg,162000000.0
Hiong@rocketmail.com,Meulaboh,2018-12-04,KP0350CF,36728,3,4.0,JENT,N,Fi-101,Nurdin Hiong ,35000000.0,Colombie Finest Blend 50kg,105000000.0
Tamin@gmail.com,Medan,2018-12-04,KP0850FB,36638,5,4.0,Swift Delivery,Y,Wd-662,Erly Tamin,21000000.0,Flores Blend 50kg,105000000.0
Roy@livex.com,Pontianak,2018-12-03,KP0150BH,35551,2,2.0,JENT,N,Jr-880,Roy  Mei ,27000000.0,Bali Honey 50kg,54000000.0
Junus@gmail.com,Banjarbaru,2018-12-03,KP0925SG,36956,8,4.0,Cepat Kirim,Y,Jg-991,Junus Amiria,15000000.0,Sidikalang Gold Blend 25kg,120000000.0
Mulya@livex.com,Padangpanjang,2018-12-02,KP0625AF,36759,7,1.0,Wakanda Express,Y,My-559,Abdul Mulya,12000000.0,Arabica Flores 25kg,84000000.0
Santoso@gmail.com,Parepare,2018-12-01,KP0925SG,36820,6,5.0,Wakanda Express,Y,Al-290,Elizabeth  Santoso,15000000.0,Sidikalang Gold Blend 25kg,90000000.0
Jocelin@ymail.com,Subulussalam,2018-12-01,KP0925SG,36317,3,4.0,JENT,Y,Gx-101,Jocelin  Suwignjo ,15000000.0,Sidikalang Gold Blend 25kg,45000000.0
Asiah@livex.com,Bukittinggi,2018-12-01,KP0750AJ,36221,5,4.0,JENT,Y,Ln-559,Albert Asiah,18000000.0,Arabica Java 50kg,90000000.0
Joe@ymail.com,Ternate,2018-12-01,KP0150BH,35896,4,4.0,Wakanda Express,Y,Ax-160,Joe Kohar,27000000.0,Bali Honey 50kg,108000000.0
Sutedja@mex.com,Tomohon,2018-11-28,KP0625AF,35988,3,5.0,Wakanda Express,Y,Cc-221,Leny Sutedja,12000000.0,Arabica Flores 25kg,36000000.0
Michael@livex.com,Gorontalo,2018-11-28,KP0625AF,36925,3,4.0,JENT,Y,Vg-983,Michael Arie,12000000.0,Arabica Flores 25kg,36000000.0
Tjing@ymail.com,Ternate,2018-11-27,KP0850FB,36152,7,4.0,Swift Delivery,Y,Pv-160,Hendra  Tjing,21000000.0,Flores Blend 50kg,147000000.0
Namara@livex.com,Bandar Lampung,2018-11-27,KP0850FB,35379,9,4.0,JENT,Y,Zp-150,Mohit Namara,21000000.0,Flores Blend 50kg,189000000.0
Magnus@ymail.com,Semarang,2018-11-27,KP0750AJ,35486,7,4.0,Pru Logistic,Y,Wg-410,Hetty Magnus,18000000.0,Arabica Java 50kg,126000000.0
Ratnawati@gmail.com,Malang,2018-11-26,KP0150BH,36492,3,3.0,Cepat Kirim,N,Zl-123,Ratnawati Bayu,27000000.0,Bali Honey 50kg,81000000.0
Russel@ymail.com,Tegal,2018-11-25,KP0850FB,35763,7,4.0,Pru Logistic,N,Kk-410,Russel Sari,21000000.0,Flores Blend 50kg,147000000.0
